,Smiles,Mol,score,h,Training,Success,enamine_searched,enamine_id
0,C(N(C(=O)C(N1C([C@@]2(C(=O)N(c3c(nc(c4c(c(c(c(c34)[H])[H])[H])[H])[H])[H])C([C@@]2(C(N(c2c(c(nc(n2)[H])[H])[H])[H])([H])[H])[H])([H])[H])c2c(c(Cl)c(c(c2C1=O)[H])[H])[H])([H])[H])([H])[H])[H])([H])([H])[H],<fegrow.package.RMol object at 0x7fc1205c2930>,6.62184,,True,True,False,
1,C(N(C(=O)C(N1C([C@@]2(C(=O)N(c3c(nc(c4c(c(c(c(c34)[H])[H])[H])[H])[H])[H])C([C@@]2(C(N(c2c(nn(C([H])([H])[H])c2[H])[H])[H])([H])[H])[H])([H])[H])c2c(c(Cl)c(c(c2C1=O)[H])[H])[H])([H])[H])([H])[H])[H])([H])([H])[H],<fegrow.package.RMol object at 0x7fc0e05b9bc0>,7.02557,,True,True,False,
2,C(c1c(nc(C(N2C([C@@]3(C(=O)N(c4c(nc(c5c(c(c(c(c45)[H])[H])[H])[H])[H])[H])C([C@@]3(C([H])([H])[H])[H])([H])[H])c3c(c(F)c(c(c3C2=O)[H])[H])[H])([H])[H])([H])[H])c(n1)[H])[H])([H])([H])[H],<fegrow.package.RMol object at 0x7fc1202fe390>,6.48946,,True,True,False,
3,C(N(C(=O)C(N1C([C@@]2(C(=O)N(c3c(nc(c4c(c(c(c(c34)[H])[H])[H])[H])[H])[H])C([C@@]2(C(OC(C([H])([H])[H])(C([H])([H])[H])[H])([H])[H])[H])([H])[H])c2c(c(Cl)c(c(c2C1=O)[H])[H])[H])([H])[H])([H])[H])[H])([H])([H])[H],<fegrow.package.RMol object at 0x7fc120322b60>,6.62912,,True,True,False,
4,C([C@]1(C(N(c2c(nc(c3c(c(c(c(c23)[H])[H])[H])[H])[H])[H])C(=O)[C@]21C(N(C(c1nc(c(n1C([H])([H])[H])[H])[H])([H])[H])C(=O)c1c(c(c(F)c(c21)[H])[H])[H])([H])[H])([H])[H])[H])([H])([H])[H],<fegrow.package.RMol object at 0x7fc0e06ac590>,6.82469,,True,True,False,
5,C(=C(C(N(C(=O)[C@@]1(C(N(C(C(=O)N(C([H])([H])[H])[H])([H])[H])C(=O)c2c(c(c(Cl)c(c12)[H])[H])[H])([H])[H])[H])c1c(nc(c2c(c(c(c(c12)[H])[H])[H])[H])[H])[H])([H])[H])C(=O)[O-])([H])[H],<fegrow.package.RMol object at 0x7fc1205ef330>,5.77933,,True,True,False,
6,C(C(C1(C(C(N(C(=O)C(c2c(nc(c3c(c(c(c(c23)[H])[H])[H])[H])[H])[H])([H])[H])C(C1([H])[H])([H])[H])([H])[H])([H])[H])[H])([H])[H])([H])([H])[H],<fegrow.package.RMol object at 0x7fc12037e480>,4.94394,,True,True,False,
7,C(C(S(=O)(=O)N1C(C2(C1([H])[H])C(=O)N(c1c(nc(c3c(c(c(c(c13)[H])[H])[H])[H])[H])[H])C(=O)N2C([H])([H])[H])([H])[H])([H])[H])([H])([H])[H],<fegrow.package.RMol object at 0x7fc1004e1940>,5.36909,,True,True,False,
8,C(N(C(=O)C(N1C([C@@]2(C(=O)N(c3c(nc(c4c(c(c(c(c34)[H])[H])[H])[H])[H])[H])C([C@@]2(C(OC([H])([H])[H])([H])[H])[H])([H])[H])c2c(c(Cl)c(c(c2C1=O)[H])[H])[H])([H])[H])([H])[H])[H])([H])([H])[H],<fegrow.package.RMol object at 0x7fc120592f70>,6.51707,,True,True,False,
9,C([C@]1(C(=C(C(N(C(=O)C(c2c(nc(c3c(c(c(c(c23)[H])[H])[H])[H])[H])[H])([H])[H])C(C1([H])[H])([H])[H])([H])[H])[H])[H])[H])([H])([H])[H],<fegrow.package.RMol object at 0x7fc1204ad300>,5.1806,,True,True,False,
